releaseID,releaseFishID,forkLength,ReleaseFish.comments
267,2021,37,
267,2020,37,
267,2028,36,
267,2012,35,
267,2010,39,
267,2024,35,
267,2011,39,
267,2019,38,
267,2013,33,
267,2014,33,
267,2015,38,
267,2016,38,
267,2017,36,
267,2018,35,
268,2476,37,
268,2465,39,
268,2482,38,
268,2481,36,
268,2480,37,
268,2479,36,
268,2478,36,
268,2477,36,
268,2483,37,
268,2475,38,
268,2474,39,
268,2473,39,
268,2472,35,
268,2471,38,
268,2470,39,
268,2469,35,
268,2468,36,
268,2466,37,
268,2484,37,
268,2467,35,
268,2495,34,
268,2505,37,
268,2442,37,
268,2504,35,
268,2464,37,
268,2502,35,
268,2501,35,
268,2500,35,
268,2499,35,
268,2498,35,
268,2503,37,
268,2496,35,
268,2485,36,
268,2494,35,
268,2493,37,
268,2492,34,
268,2491,37,
268,2490,37,
268,2489,34,
268,2488,35,
268,2487,37,
268,2486,36,
268,2497,36,
268,2428,36,
268,2438,39,
268,2437,36,
268,2436,37,
268,2435,38,
268,2434,39,
268,2433,37,
268,2432,36,
268,2431,38,
268,2444,35,
268,2429,34,
268,2441,39,
268,2427,37,
268,2426,37,
268,2425,35,
268,2424,39,
268,2423,35,
268,2506,36,
268,2550,38,
268,2422,35,
268,2430,35,
268,2452,37,
268,2462,34,
268,2461,35,
268,2460,37,
268,2459,37,
268,2458,35,
268,2457,36,
268,2456,38,
268,2455,37,
268,2439,38,
268,2453,35,
268,2440,38,
268,2451,37,
268,2450,36,
268,2449,40,
268,2448,37,
268,2447,37,
268,2446,35,
268,2445,36,
268,2443,36,
268,2463,36,
268,2454,36,
268,2560,38,
268,2570,36,
268,2569,39,
268,2568,38,
268,2567,38,
268,2566,35,
268,2565,37,
268,2564,36,
268,2563,35,
268,2548,38,
268,2561,37,
268,2573,35,
268,2559,38,
268,2558,36,
268,2557,36,
268,2556,38,
268,2555,37,
268,2554,38,
268,2553,38,
268,2552,37,
268,2562,37,
268,2583,37,
268,2582,35,
268,2593,38,
268,2592,40,
268,2591,36,
268,2590,35,
268,2589,38,
268,2588,35,
268,2587,37,
268,2571,34,
268,2585,39,
268,2572,37,
268,2581,35,
268,2580,36,
268,2579,37,
268,2578,38,
268,2577,37,
268,2576,36,
268,2575,40,
268,2574,36,
268,2549,37,
268,2586,38,
268,2517,35,
268,2551,39,
268,2526,35,
268,2525,35,
268,2524,35,
268,2523,36,
268,2522,38,
268,2521,37,
268,2520,37,
268,2528,38,
268,2518,35,
268,2529,35,
268,2516,37,
268,2515,37,
268,2514,35,
268,2513,36,
268,2512,37,
268,2511,38,
268,2510,38,
268,2509,37,
268,2508,35,
268,2519,35,
268,2539,35,
268,2507,36,
268,2594,37,
268,2547,36,
268,2546,35,
268,2545,39,
268,2544,36,
268,2543,36,
268,2542,36,
